"Allmächtiger","3","33","Anbetung und Dank",""
"Am heil’gen Tag","4","214","Anbetung und Dank",""
"Danket dem Herrn","3","2","Anbetung und Dank",""
"Das ist ein köstlich Ding","4","205","Anbetung und Dank",""
"Das ist ein köstliches Ding","3","11","Anbetung und Dank",""
"Das Kreuz es steht fest","3","26","Anbetung und Dank",""
"Das Volk Gottes scharet","2","105","Anbetung und Dank",""
"Der Herr hat großes an","4","173","Anbetung und Dank",""
"Dich will ich preisen","4","164","Anbetung und Dank",""
"Die Erd‘ ist des Herrn","4","186","Anbetung und Dank",""
"Die Himmel erzählen","4","165","Anbetung und Dank",""
"Dies ist der Tag","4","352","Anbetung und Dank",""
"Ehre dir, mein Retter","4","166","Anbetung und Dank",""
"Erhebet den Herrn!","0","71","Anbetung und Dank",""
"Frohlocket in dem Herrn","3","34","Anbetung und Dank",""
"Für Wohltat groß","3","15","Anbetung und Dank",""
"Groß ist des Schöpfers","4","202","Anbetung und Dank",""
"Ich danke herzlich","4","201","Anbetung und Dank",""
"Ich will den Herrn Loben","4","174","Anbetung und Dank",""
"Ich weiß Gott wird mich","3","52","Anbetung und Dank",""
"Jauchzet dem Herrn","0","44","Anbetung und Dank",""
"Jauchzet Gott","4","172","Anbetung und Dank",""
"Lobe Gott","3","20","Anbetung und Dank",""
"Lobet den Herrn","3","31","Anbetung und Dank",""
"Lobet den Herrn","0","39","Anbetung und Dank",""
"Lobet Jehova","0","6","Anbetung und Dank",""
"Lobsinget dem Herrn","1","77","Anbetung und Dank",""
"Lobsinget Namen","0","0","Anbetung und Dank",""
"Mein Herr und Gott","2","147","Anbetung und Dank",""
"Mein Herz ist dir bereit","1","83","Anbetung und Dank",""
"Danket dem Herrn","0","56","Anbetung und Dank",""
"O großer Gott","3","1","Anbetung und Dank",""
"O großer Gott","0","42","Anbetung und Dank",""
"Preiset den Herrn","2","155","Anbetung und Dank",""
"Preist Gott, den Vater","0","73","Anbetung und Dank",""
"Singet dem Herrn ein","0","43","Anbetung und Dank",""
"Singet froh dem Herrn","1","53","Anbetung und Dank",""
"Singet Gott dem Herrn","3","7","Anbetung und Dank",""
"Singt dem Allmächtigen","4","188","Anbetung und Dank",""
"Wie groß ist des","4","191","Anbetung und Dank",""
"Wir preisen, preisen","1","41","Anbetung und Dank",""
"Wunder der Gnade","4","313","Anbetung und Dank",""
"Wie lieblich","3","45","Anbetung und Dank",""
"Du redest, Herr, zu mir zu mir","0","8","Bitte und Gebet",""
"Durch dein Wort","1","100","Bitte und Gebet",""
"Führe du, Herr","1","3","Bitte und Gebet",""
"Gnädiger, Gott","2","109","Bitte und Gebet",""
"Gott, man lobt dich","1","6","Bitte und Gebet",""
"Herr, den ich tief im","4","213","Bitte und Gebet",""
"Herr, zu dir will ich mich","0","40","Bitte und Gebet",""
"Hör' mich Gott","1","5","Bitte und Gebet",""
"Hör' uns, Allmächtiger","4","219","Bitte und Gebet",""
"Hör uns, o Gott","3","45","Bitte und Gebet",""
"Höre meinen Flehen","3","54","Bitte und Gebet",""
"Ich suche dich","0","48","Bitte und Gebet",""
"Lass hören mich","1","84","Bitte und Gebet",""
"Meine Seele ist Stille","4","311","Bitte und Gebet",""
"Neige dein Ohr, o Gott","3","55","Bitte und Gebet",""
"O erhöre Herr","1","37","Bitte und Gebet",""
"O Gott, mein Herr","2","212","Bitte und Gebet",""
"O, heil'ger Geist","1","51","Bitte und Gebet",""
"O Herr, erhör mein","1","39","Bitte und Gebet",""
"Schenk' mir mehr Klarheit","4","227","Bitte und Gebet",""
"Unser Vater","3","56","Bitte und Gebet",""
"Vater unserer, Väter","0","22","Bitte und Gebet",""
"Vater, erhör uns neig'","4","229","Bitte und Gebet",""
"Vater, erhör' uns","1","14","Bitte und Gebet",""
"Vater, erhöre mich","4","220","Bitte und Gebet",""
"Verlass uns nicht","0","19","Bitte und Gebet",""
"Willst du beten","3","50","Bitte und Gebet",""
"Es ist noch Raum","0","8","Ruf zum Glauben und Umkehr",""
"Höre, mein Freund","1","100","Ruf zum Glauben und Umkehr",""
"Ich klopfe an","1","3","Ruf zum Glauben und Umkehr",""
"Ich war einst verloren","2","109","Ruf zum Glauben und Umkehr",""
"In dem fremden Lande","1","6","Ruf zum Glauben und Umkehr",""
"Keinen Heiland","4","213","Ruf zum Glauben und Umkehr",""
"Komm zum Kreuz verirrte","0","40","Ruf zum Glauben und Umkehr",""
"Komm zum Kreuz, wo Jesus","1","5","Ruf zum Glauben und Umkehr",""
"Komm zum Kreuz nach","4","219","Ruf zum Glauben und Umkehr",""
"Lockend ruft der Heiland","3","45","Ruf zum Glauben und Umkehr",""
"O kommet und nehmet","3","54","Ruf zum Glauben und Umkehr",""
"O kommet, o kommet","0","48","Ruf zum Glauben und Umkehr",""
"O mein Freund komm","1","84","Ruf zum Glauben und Umkehr",""
"O Menschen, bekehrt euch","4","311","Ruf zum Glauben und Umkehr",""
"Sieh' ich steh' vor dir","3","55","Ruf zum Glauben und Umkehr",""
"Spiel nicht mit deiner S.","1","37","Ruf zum Glauben und Umkehr",""
"Wenn dir das Herz","2","212","Ruf zum Glauben und Umkehr",""
"Wenn uns die Leiden","1","51","Ruf zum Glauben und Umkehr",""
"Wer gleich Blutrot","1","39","Ruf zum Glauben und Umkehr",""
"Entfernt von Gott","4","227","Ruf zum Glauben und Umkehr",""
"Du aller Worte ","3","56","Ruf zum Glauben und Umkehr",""
"Unaufhörlich","0","22","Ruf zum Glauben und Umkehr",""
"Heute ernte ich ","4","229","Ruf zum Glauben und Umkehr",""
"Auf den Flügeln meines","4","305","Heiligung und Hingabe",""
"Bis hierher hat der Herr","4","217","Heiligung und Hingabe",""
"Der Herr ist mein Licht","3","8","Heiligung und Hingabe",""
"Erschaffe mir, Gott","4","126","Heiligung und Hingabe",""
"Gebt mir die Bibel","1","69","Heiligung und Hingabe",""
"Gehst du durch wogende","3","75","Heiligung und Hingabe",""
"Gott ist unsere Zuversicht","4","302","Heiligung und Hingabe",""
"Gottes Volk darf nie","4","337","Heiligung und Hingabe",""
"Herr, lass mich werden","4","325","Heiligung und Hingabe",""
"Im Kreuz ist unsere Kraft","4","323","Heiligung und Hingabe",""
"Immer vorwärts","0","20","Heiligung und Hingabe",""
"Jesus Christus","1","75","Heiligung und Hingabe",""
"Jesus, meiner Seele Licht","3","85","Heiligung und Hingabe",""
"Lass ihn draußen","3","157","Heiligung und Hingabe",""
"Mach mich reiner","3","139","Heiligung und Hingabe",""
"Meister es toben Winde","4","330","Heiligung und Hingabe",""
"Nicht um viel Ehr","1","68","Heiligung und Hingabe",""
"Nun so bleibt es fest","3","125","Heiligung und Hingabe",""
" O Gott, Du bist mein Gott","4","353","Heiligung und Hingabe",""
"Schaff‘ in mir, Gott","0","12","Heiligung und Hingabe",""
"Um mich vom Verderben","1","74","Heiligung und Hingabe",""
"Und wenn ich redete mit","0","47","Heiligung und Hingabe",""
"Was ist nur der Glaube","1","25","Heiligung und Hingabe",""
"Der Dienst für den Heiland","3","137","Dienst und Mission",""
"Einst ging ich in Sünden","4","248","Dienst und Mission",""
"Frohe Botschaft","4","279","Dienst und Mission",""
"Geh‘ in den Weinberg","5","504","Dienst und Mission",""
"Gott, du Vater","1","46","Dienst und Mission",""
"Gottes heil’ge Wahrheit","4","322","Dienst und Mission",""
"Ich bin glücklich","4","318","Dienst und Mission",""
"Lass mich Herr Jesu","3","109","Dienst und Mission",""
"Wachet auf, ihr jungen","4","320","Dienst und Mission",""
"Auf dem Sturmbewegten","4","251","Die ewige Heimat",""
"Bringe du mich heim","0","17","Die ewige Heimat",""
"Dort, wo der Heimat","4","264","Die ewige Heimat",""
